licensee,year,total_accepted_t,n_records,n_low_codes,disposal,other,recovery,recovery_rate
Enva Ireland Limited (Portlaoise) - W0184,2023,58162.71000000001,17,10,0.0,3208.3500000000004,54954.36,1.0
Enva Ireland Limited (Portlaoise) - W0184,2024,66834.07,16,10,0.0,1302.65,65531.420000000006,1.0
Enva Ireland Limited (Portlaoise) - W0184,2025,72896.61,22,11,0.0,1347.11,71549.5,1.0
Enva Ireland Limited (Shannon) - W0041,2021,1.408,3,2,0.0,1.408,0.0,
Enva Ireland Limited (Shannon) - W0041,2022,1.259,9,3,0.0,1.259,0.0,
Enva Ireland Limited (Shannon) - W0041,2023,1.7389999999999999,4,2,0.0,1.7389999999999999,0.0,
Enva Ireland Limited (Shannon) - W0041,2024,0.388,2,1,0.0,0.388,0.0,
Enva Ireland Limited (Shannon) - W0041,2025,0.934,3,2,0.0,0.934,0.0,
Enva Ireland Limited - W0192,2021,13830.342,16,8,13615.587,205.12900000000002,9.626,0.0007064843683544617
Enva Ireland Limited - W0192,2022,23559.32,12,5,0.0,23554.39,4.93,1.0
Enva Ireland Limited - W0192,2023,31945.858,11,4,0.0,31945.196,0.662,1.0
Enva Ireland Limited - W0192,2024,18508.02,13,6,0.0,18499.77,8.25,1.0
Enva Ireland Limited - W0192,2025,44607.15,12,4,0.0,44607.15,0.0,
GLV Bay Lane Limited - W0301,2025,33.76,1,1,0.0,33.76,0.0,
Galway Corporation Depot - W0166,2022,66.66,2,1,0.0,66.66,0.0,
Galway Corporation Depot - W0166,2024,66.97,2,1,0.0,66.97,0.0,
Galway Corporation Depot - W0166,2025,8.76,4,2,0.0,8.76,0.0,
Galway Metal Company Limited - P1006,2021,21844.750000000004,15,5,0.0,0.0,21844.750000000004,1.0
Galway Metal Company Limited - P1006,2022,19900.95,13,5,0.0,0.0,19900.95,1.0
Galway Metal Company Limited - P1006,2023,20645.863,12,6,0.0,0.0,20645.863,1.0
Galway Metal Company Limited - P1006,2024,23399.4,18,6,0.0,0.0,23399.4,1.0
Galway Metal Company Limited - P1006,2025,22887.3,15,6,0.0,0.0,22887.3,1.0
Garryhesta Pit - W0299,2021,43162.0,2,1,0.0,0.0,43162.0,1.0
Garryhesta Pit - W0299,2022,253960.03,2,1,0.0,0.0,253960.03,1.0
Garryhesta Pit - W0299,2023,281665.62,2,1,0.0,0.0,281665.62,1.0
Garryhesta Pit - W0299,2024,300000.0,2,1,0.0,0.0,300000.0,1.0
Garryhesta Pit - W0299,2025,276059.9,2,1,0.0,0.0,276059.9,1.0
Glanway Limited - P1015,2023,17274.8,2,1,17274.8,0.0,0.0,0.0
Glanway Limited - P1015,2024,11199.26,2,1,11199.26,0.0,0.0,0.0
Glanway Limited - P1015,2025,18318.34,2,1,18318.34,0.0,0.0,0.0
Gortadroma Landfill Site - W0017,2021,0.0,1,1,0.0,0.0,0.0,
Gortadroma Landfill Site - W0017,2022,0.0,1,1,0.0,0.0,0.0,
Gortadroma Landfill Site - W0017,2023,0.0,1,1,0.0,0.0,0.0,
Gortadroma Landfill Site - W0017,2024,0.0,1,1,0.0,0.0,0.0,
Gortadroma Landfill Site - W0017,2025,0.0,1,1,0.0,0.0,0.0,
Green Circular Economy Unlimited Company - W0205,2021,29283.53,26,8,0.0,2.9,29280.63,1.0
Green Circular Economy Unlimited Company - W0205,2022,35244.998999999996,26,10,0.0,35244.998999999996,0.0,
Green Circular Economy Unlimited Company - W0205,2023,29896.281,27,10,0.0,29896.281,0.0,
Green Circular Economy Unlimited Company - W0205,2024,23105.795,26,10,0.0,23105.795,0.0,
Green Circular Economy Unlimited Company - W0205,2025,19148.38,24,9,0.0,19148.38,0.0,
Hi-Volt Ireland Limited - W0267,2021,556.168,10,5,0.0,556.168,0.0,
Hi-Volt Ireland Limited - W0267,2022,446.47600000000006,10,5,0.0,446.47600000000006,0.0,
Hi-Volt Ireland Limited - W0267,2023,517.408,10,5,0.0,517.408,0.0,
Hi-Volt Ireland Limited - W0267,2024,428.062,10,6,0.0,428.062,0.0,
Huntstown Inert Waste Recovery Facility - W0277,2021,1499662.0,2,1,0.0,0.0,1499662.0,1.0
Huntstown Inert Waste Recovery Facility - W0277,2022,1411192.48,2,1,0.0,0.0,1411192.48,1.0
