licensee,year,total_accepted_t,n_records,n_low_codes,recovery_share,disposal_share,other_share,backfill_share,hazardous_share,recovery_rate
Drehid Waste Management Facility - W0201,2021,144621.96,17.0,3.0,0.995378295246448,0.00462170475355195,0.0,0.1271765366753431,0.0,0.995378295246448
Drehid Waste Management Facility - W0201,2022,44087.909999999996,15.0,4.0,0.9844864499133663,0.015513550086633727,0.0,0.9844864499133663,0.0,0.9844864499133663
Drehid Waste Management Facility - W0201,2023,138532.64000000004,21.0,3.0,0.9952206209309228,0.004779379069077149,0.0,0.9952206209309228,0.0,0.9952206209309228
Drehid Waste Management Facility - W0201,2024,140625.77999999997,31.0,6.0,0.995493713883756,0.00450628611624412,0.0,0.995493713883756,0.0,0.9954937138837558
Drehid Waste Management Facility - W0201,2025,126557.95999999999,26.0,4.0,0.9953964175781594,0.004603582421840555,0.0,0.9953964175781594,0.0,0.9953964175781594
Dublin Port Company - P1022,2021,65373.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
Dungarvan Waste Disposal Site - W0032,2021,190.56,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Dungarvan Waste Disposal Site - W0032,2022,176.36,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Dungarvan Waste Disposal Site - W0032,2023,225.26,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Dungarvan Waste Disposal Site - W0032,2024,227.12,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Dungarvan Waste Disposal Site - W0032,2025,279.12,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
East Cork Landfill Site - W0022,2022,6.74,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
East Cork Landfill Site - W0022,2023,7.64,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
East Cork Landfill Site - W0022,2024,4.94,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
East Cork Landfill Site - W0022,2025,3.86,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Enva Ireland Limited (Portlaoise) - W0184,2021,69486.326,16.0,12.0,0.0,0.0034021082075918075,0.9965978917924081,0.0,0.47911661065516686,0.0
Enva Ireland Limited (Portlaoise) - W0184,2022,65196.520000000004,15.0,9.0,0.0,0.0,1.0,0.0,0.6546950665464966,
Enva Ireland Limited (Portlaoise) - W0184,2023,58162.71000000001,17.0,10.0,0.9448383680884195,0.0,0.05516163191158045,0.0,0.6277047613496689,1.0
